Global_ID,Plot,Experiment Name,HT
2001_1001,1001,2001,32.0
2001_1002,1002,2001,46.0
2001_1003,1003,2001,46.0
2001_1004,1004,2001,40.0
2001_1005,1005,2001,37.0
2001_1006,1006,2001,41.0
2001_1007,1007,2001,47.0
2001_1008,1008,2001,45.0
2001_1009,1009,2001,37.0
2001_1010,1010,2001,57.0
2001_1011,1011,2001,46.0
2001_1012,1012,2001,45.0
2001_1013,1013,2001,58.0
2001_1014,1014,2001,44.0
2001_1015,1015,2001,58.0
2001_1016,1016,2001,56.0
2001_1017,1017,2001,53.0
2001_1018,1018,2001,52.0
2001_1019,1019,2001,51.0
2001_1020,1020,2001,53.0
2001_1021,1021,2001,67.0
2001_1022,1022,2001,53.0
2001_1023,1023,2001,50.0
2001_1024,1024,2001,57.0
2001_1025,1025,2001,55.0
2001_1026,1026,2001,46.0
2001_1027,1027,2001,52.0
2001_1028,1028,2001,47.0
2001_1029,1029,2001,48.0
2001_1030,1030,2001,53.0
2001_1031,1031,2001,50.0
2001_1032,1032,2001,45.0
2001_1033,1033,2001,51.0
2001_1034,1034,2001,51.0
2001_1035,1035,2001,50.0
2001_1036,1036,2001,47.0
2001_2001,2001,2001,44.0
2001_2002,2002,2001,48.0
2001_2003,2003,2001,33.0
2001_2004,2004,2001,49.0
2001_2005,2005,2001,50.0
2001_2006,2006,2001,59.0
2001_2007,2007,2001,48.0
2001_2008,2008,2001,52.0
2001_2009,2009,2001,56.0
2001_2010,2010,2001,57.0
2001_2011,2011,2001,59.0
2001_2012,2012,2001,51.0
2001_2013,2013,2001,58.0
2001_2014,2014,2001,52.0
2001_2015,2015,2001,46.0
2001_2016,2016,2001,52.0
2001_2017,2017,2001,51.0
2001_2018,2018,2001,60.0
2001_2019,2019,2001,52.0
2001_2020,2020,2001,50.0
2001_2021,2021,2001,55.0
2001_2022,2022,2001,54.0
2001_2023,2023,2001,60.0
2001_2024,2024,2001,45.0
2001_2025,2025,2001,48.0
2001_2026,2026,2001,57.0
2001_2027,2027,2001,51.0
2001_2028,2028,2001,45.0
2001_2029,2029,2001,49.0
2001_2030,2030,2001,54.0
2001_2031,2031,2001,49.0
2001_2032,2032,2001,54.0
2001_2033,2033,2001,55.0
2001_2034,2034,2001,53.0
2001_2035,2035,2001,52.0
2001_2036,2036,2001,50.0
2001_3001,3001,2001,53.0
2001_3002,3002,2001,52.0
2001_3003,3003,2001,54.0
2001_3004,3004,2001,48.0
2001_3005,3005,2001,53.0
2001_3006,3006,2001,55.0
2001_3007,3007,2001,44.0
2001_3008,3008,2001,43.0
2001_3009,3009,2001,46.0
2001_3010,3010,2001,49.0
2001_3011,3011,2001,42.0
2001_3012,3012,2001,42.0
2001_3013,3013,2001,44.0
2001_3014,3014,2001,47.0
2001_3015,3015,2001,52.0
2001_3016,3016,2001,44.0
2001_3017,3017,2001,52.0
2001_3018,3018,2001,51.0
2001_3019,3019,2001,39.0
2001_3020,3020,2001,56.0
2001_3021,3021,2001,41.0
2001_3022,3022,2001,47.0
2001_3023,3023,2001,49.0
2001_3024,3024,2001,44.0
2001_3025,3025,2001,34.0
2001_3026,3026,2001,44.0
2001_3027,3027,2001,52.0
2001_3028,3028,2001,53.0
2001_3029,3029,2001,59.0
2001_3030,3030,2001,51.0
2001_3031,3031,2001,44.0
2001_3032,3032,2001,48.0
2001_3033,3033,2001,48.0
2001_3034,3034,2001,48.0
2001_3035,3035,2001,48.0
2001_3036,3036,2001,53.0
2001_4001,4001,2001,45.0
2001_4002,4002,2001,50.0
2001_4003,4003,2001,50.0
2001_4004,4004,2001,45.0
2001_4005,4005,2001,48.0
2001_4006,4006,2001,48.0
2001_4007,4007,2001,51.0
2001_4008,4008,2001,46.0
2001_4009,4009,2001,48.0
2001_4010,4010,2001,41.0
2001_4011,4011,2001,49.0
2001_4012,4012,2001,44.0
2001_4013,4013,2001,45.0
2001_4014,4014,2001,51.0
2001_4015,4015,2001,53.0
2001_4016,4016,2001,52.0
2001_4017,4017,2001,45.0
2001_4018,4018,2001,52.0
2001_4019,4019,2001,46.0
2001_4020,4020,2001,42.0
2001_4021,4021,2001,53.0
2001_4022,4022,2001,51.0
2001_4023,4023,2001,51.0
2001_4024,4024,2001,50.0
2001_4025,4025,2001,47.0
2001_4026,4026,2001,47.0
2001_4027,4027,2001,44.0
2001_4028,4028,2001,46.0
2001_4029,4029,2001,49.0
2001_4030,4030,2001,50.0
2001_4031,4031,2001,42.0
2001_4032,4032,2001,48.0
2001_4033,4033,2001,51.0
2001_4034,4034,2001,51.0
2001_4035,4035,2001,47.0
2001_4036,4036,2001,50.0
2002_1001,1001,2002,49.0
2002_1002,1002,2002,49.0
2002_1003,1003,2002,36.0
2002_1004,1004,2002,53.0
2002_1005,1005,2002,52.0
2002_1006,1006,2002,46.0
2002_1007,1007,2002,52.0
2002_1008,1008,2002,51.0
2002_1009,1009,2002,49.0
2002_1010,1010,2002,52.0
2002_1011,1011,2002,43.0
2002_1012,1012,2002,52.0
2002_1013,1013,2002,50.0
2002_1014,1014,2002,45.0
2002_1015,1015,2002,47.0
2002_1016,1016,2002,51.0
2002_1017,1017,2002,57.0
2002_1018,1018,2002,51.0
2002_1019,1019,2002,45.0
2002_1020,1020,2002,55.0
2002_1021,1021,2002,52.0
2002_1022,1022,2002,56.0
2002_1023,1023,2002,52.0
2002_1024,1024,2002,50.0
2002_1025,1025,2002,48.0
2002_1026,1026,2002,50.0
2002_1027,1027,2002,51.0
2002_1028,1028,2002,42.0
2002_1029,1029,2002,55.0
2002_1030,1030,2002,51.0
2002_1031,1031,2002,48.0
2002_1032,1032,2002,63.0
2002_1033,1033,2002,48.0
2002_1034,1034,2002,38.0
2002_1035,1035,2002,55.0
2002_1036,1036,2002,53.0
2002_2001,2001,2002,44.0
2002_2002,2002,2002,41.0
2002_2003,2003,2002,45.0
2002_2004,2004,2002,43.0
2002_2005,2005,2002,48.0
2002_2006,2006,2002,48.0
2002_2007,2007,2002,45.0
2002_2008,2008,2002,53.0
2002_2009,2009,2002,50.0
2002_2010,2010,2002,46.0
2002_2011,2011,2002,49.0
2002_2012,2012,2002,55.0
2002_2013,2013,2002,50.0
2002_2014,2014,2002,46.0
2002_2015,2015,2002,45.0
2002_2016,2016,2002,46.0
2002_2017,2017,2002,46.0
2002_2018,2018,2002,58.0
2002_2019,2019,2002,57.0
2002_2020,2020,2002,40.0
2002_2021,2021,2002,56.0
2002_2022,2022,2002,47.0
2002_2023,2023,2002,55.0
2002_2024,2024,2002,50.0
2002_2025,2025,2002,51.0
2002_2026,2026,2002,47.0
2002_2027,2027,2002,47.0
2002_2028,2028,2002,52.0
2002_2029,2029,2002,44.0
2002_2030,2030,2002,44.0
2002_2031,2031,2002,60.0
2002_2032,2032,2002,48.0
2002_2033,2033,2002,44.0
2002_2034,2034,2002,49.0
2002_2035,2035,2002,47.0
2002_2036,2036,2002,49.0
2002_3001,3001,2002,48.0
2002_3002,3002,2002,45.0
2002_3003,3003,2002,47.0
2002_3004,3004,2002,46.0
2002_3005,3005,2002,41.0
2002_3006,3006,2002,48.0
2002_3007,3007,2002,47.0
2002_3008,3008,2002,38.0
2002_3009,3009,2002,34.0
2002_3010,3010,2002,40.0
2002_3011,3011,2002,40.0
2002_3012,3012,2002,41.0
2002_3013,3013,2002,52.0
2002_3014,3014,2002,46.0
2002_3015,3015,2002,39.0
2002_3016,3016,2002,41.0
2002_3017,3017,2002,43.0
2002_3018,3018,2002,43.0
2002_3019,3019,2002,47.0
2002_3020,3020,2002,41.0
2002_3021,3021,2002,49.0
2002_3022,3022,2002,50.0
2002_3023,3023,2002,39.0
2002_3024,3024,2002,43.0
2002_3025,3025,2002,33.0
2002_3026,3026,2002,47.0
2002_3027,3027,2002,39.0
2002_3028,3028,2002,35.0
2002_3029,3029,2002,54.0
2002_3030,3030,2002,32.0
2002_3031,3031,2002,44.0
2002_3032,3032,2002,51.0
2002_3033,3033,2002,31.0
2002_3034,3034,2002,52.0
2002_3035,3035,2002,48.0
2002_3036,3036,2002,42.0
2002_4001,4001,2002,52.0
2002_4002,4002,2002,49.0
2002_4003,4003,2002,49.0
2002_4004,4004,2002,47.0
2002_4005,4005,2002,48.0
2002_4006,4006,2002,49.0
2002_4007,4007,2002,40.0
2002_4008,4008,2002,36.0
2002_4009,4009,2002,44.0
2002_4010,4010,2002,41.0
2002_4011,4011,2002,48.0
2002_4012,4012,2002,49.0
2002_4013,4013,2002,39.0
2002_4014,4014,2002,45.0
2002_4015,4015,2002,40.0
2002_4016,4016,2002,47.0
2002_4017,4017,2002,39.0
2002_4018,4018,2002,50.0
2002_4019,4019,2002,32.0
2002_4020,4020,2002,37.0
2002_4021,4021,2002,46.0
2002_4022,4022,2002,40.0
2002_4023,4023,2002,40.0
2002_4024,4024,2002,35.0
2002_4025,4025,2002,33.0
2002_4026,4026,2002,40.0
2002_4027,4027,2002,44.0
2002_4028,4028,2002,49.0
2002_4029,4029,2002,41.0
2002_4030,4030,2002,47.0
2002_4031,4031,2002,56.0
2002_4032,4032,2002,48.0
2002_4033,4033,2002,57.0
2002_4034,4034,2002,50.0
2002_4035,4035,2002,48.0
2002_4036,4036,2002,42.0
2004_1001,1001,2004,56.0
2004_1002,1002,2004,60.0
2004_1003,1003,2004,43.0
2004_1004,1004,2004,55.0
2004_1005,1005,2004,54.0
2004_1006,1006,2004,54.0
2004_1007,1007,2004,50.0
2004_1008,1008,2004,41.0
2004_1009,1009,2004,50.0
2004_1010,1010,2004,48.0
2004_1011,1011,2004,51.0
2004_1012,1012,2004,54.0
2004_1013,1013,2004,56.0
2004_1014,1014,2004,50.0
2004_1015,1015,2004,46.0
2004_1016,1016,2004,50.0
2004_1017,1017,2004,52.0
2004_1018,1018,2004,42.0
2004_1019,1019,2004,46.0
2004_1020,1020,2004,55.0
2004_1021,1021,2004,59.0
2004_1022,1022,2004,60.0
2004_1023,1023,2004,36.0
2004_1024,1024,2004,36.0
2004_1025,1025,2004,50.0
2004_1026,1026,2004,48.0
2004_1027,1027,2004,54.0
2004_1028,1028,2004,54.0
2004_1029,1029,2004,45.0
2004_1030,1030,2004,50.0
2004_1031,1031,2004,48.0
2004_1032,1032,2004,48.0
2004_1033,1033,2004,50.0
2004_1034,1034,2004,45.0
2004_1035,1035,2004,41.0
2004_1036,1036,2004,49.0
2004_1037,1037,2004,59.0
2004_1038,1038,2004,60.0
2004_1039,1039,2004,36.0
2004_1040,1040,2004,58.0
2004_1041,1041,2004,50.0
2004_1042,1042,2004,46.0
2004_1043,1043,2004,45.0
2004_1044,1044,2004,50.0
2004_1045,1045,2004,56.0
2004_1046,1046,2004,49.0
2004_1047,1047,2004,56.0
2004_1048,1048,2004,53.0
2004_1049,1049,2004,64.0
2004_1050,1050,2004,50.0
2004_1051,1051,2004,43.0
2004_1052,1052,2004,55.0
2004_1053,1053,2004,55.0
2004_1054,1054,2004,44.0
2004_1055,1055,2004,48.0
2004_1056,1056,2004,50.0
2004_1057,1057,2004,46.0
2004_1058,1058,2004,42.0
2004_1059,1059,2004,42.0
2004_1060,1060,2004,40.0
2004_1061,1061,2004,60.0
2004_1062,1062,2004,68.0
2004_1063,1063,2004,41.0
2004_1064,1064,2004,58.0
2004_1065,1065,2004,59.0
2004_1066,1066,2004,56.0
2004_1067,1067,2004,34.0
2004_1068,1068,2004,46.0
2004_1069,1069,2004,50.0
2004_1070,1070,2004,47.0
2004_1071,1071,2004,48.0
2004_1072,1072,2004,54.0
2004_1073,1073,2004,56.0
2004_1074,1074,2004,41.0
2004_1075,1075,2004,52.0
2004_1076,1076,2004,49.0
2004_1077,1077,2004,49.0
2004_1078,1078,2004,48.0
2004_1079,1079,2004,46.0
2004_1080,1080,2004,40.0
2004_1081,1081,2004,49.0
2004_1082,1082,2004,55.0
2004_1083,1083,2004,56.0
2004_1084,1084,2004,55.0
2004_1085,1085,2004,54.0
2004_1086,1086,2004,46.0
2004_1087,1087,2004,48.0
2004_1088,1088,2004,60.0
2004_1089,1089,2004,60.0
2004_1090,1090,2004,48.0
2004_1091,1091,2004,31.0
2004_1092,1092,2004,36.0
2004_1093,1093,2004,37.0
2004_1094,1094,2004,50.0
2004_1095,1095,2004,40.0
2004_1096,1096,2004,41.0
2004_1097,1097,2004,54.0
2004_1098,1098,2004,50.0
2004_1099,1099,2004,44.0
2004_1100,1100,2004,46.0
2004_1101,1101,2004,46.0
2004_1102,1102,2004,46.0
2004_1103,1103,2004,50.0
2004_1104,1104,2004,59.0
2004_1105,1105,2004,58.0
2004_1106,1106,2004,45.0
2004_1107,1107,2004,56.0
2004_1108,1108,2004,60.0
2004_1109,1109,2004,49.0
2004_1110,1110,2004,39.0
2004_1111,1111,2004,53.0
2004_1112,1112,2004,49.0
2004_1113,1113,2004,49.0
2004_1114,1114,2004,34.0
2004_1115,1115,2004,42.0
2004_1116,1116,2004,45.0
2004_1117,1117,2004,48.0
2004_1118,1118,2004,45.0
2004_1119,1119,2004,46.0
2004_1120,1120,2004,50.0
2004_1121,1121,2004,43.0
2004_1122,1122,2004,46.0
2004_1123,1123,2004,49.0
2004_1124,1124,2004,46.0
2004_1125,1125,2004,50.0
2004_1126,1126,2004,51.0
2004_1127,1127,2004,49.0
2004_1128,1128,2004,49.0
2004_1129,1129,2004,40.0
2004_1130,1130,2004,47.0
2004_1131,1131,2004,46.0
2004_1132,1132,2004,46.0
2004_1133,1133,2004,49.0
2004_1134,1134,2004,46.0
2004_1135,1135,2004,49.0
2004_1136,1136,2004,46.0
2004_1137,1137,2004,57.0
2004_1138,1138,2004,40.0
2004_1139,1139,2004,51.0
2004_1140,1140,2004,49.0
2004_1141,1141,2004,46.0
2004_1142,1142,2004,50.0
2004_1143,1143,2004,48.0
2004_1144,1144,2004,60.0
2004_1145,1145,2004,49.0
2004_1146,1146,2004,50.0
2004_1147,1147,2004,50.0
2004_1148,1148,2004,48.0
2004_1149,1149,2004,44.0
2004_1150,1150,2004,46.0
2004_1151,1151,2004,44.0
2004_1152,1152,2004,47.0
2004_1153,1153,2004,52.0
2004_1154,1154,2004,55.0
2004_1155,1155,2004,56.0
2004_1156,1156,2004,48.0
2004_1157,1157,2004,53.0
2004_1158,1158,2004,52.0
2004_1159,1159,2004,47.0
2004_1160,1160,2004,50.0
2004_1161,1161,2004,64.0
2004_1162,1162,2004,56.0
2004_1163,1163,2004,47.0
2004_1164,1164,2004,50.0
2004_1165,1165,2004,56.0
2004_1166,1166,2004,46.0
2004_1167,1167,2004,47.0
2004_1168,1168,2004,45.0
2004_1169,1169,2004,52.0
2004_1170,1170,2004,52.0
2004_1171,1171,2004,46.0
2004_1172,1172,2004,44.0
2004_1173,1173,2004,47.0
2004_1174,1174,2004,51.0
2004_1175,1175,2004,50.0
2004_1176,1176,2004,49.0
2004_1177,1177,2004,58.0
2004_1178,1178,2004,50.0
2004_1179,1179,2004,55.0
2004_1180,1180,2004,52.0
2003_1001,1001,2003,50.0
2003_1002,1002,2003,48.0
2003_1003,1003,2003,57.0
2003_1004,1004,2003,42.0
2003_1005,1005,2003,46.0
2003_1006,1006,2003,43.0
2003_1007,1007,2003,50.0
2003_1008,1008,2003,58.0
2003_1009,1009,2003,51.0
2003_1010,1010,2003,46.0
2003_1011,1011,2003,45.0
2003_1012,1012,2003,39.0
2003_1013,1013,2003,49.0
2003_1014,1014,2003,35.0
2003_1015,1015,2003,46.0
2003_1016,1016,2003,57.0
2003_1017,1017,2003,30.0
2003_1018,1018,2003,50.0
2003_1019,1019,2003,47.0
2003_1020,1020,2003,50.0
2003_1021,1021,2003,47.0
2003_1022,1022,2003,40.0
2003_1023,1023,2003,39.0
2003_1024,1024,2003,37.0
2003_1025,1025,2003,30.0
2003_1026,1026,2003,45.0
2003_1027,1027,2003,58.0
2003_1028,1028,2003,54.0
2003_1029,1029,2003,48.0
2003_1030,1030,2003,50.0
2003_1031,1031,2003,49.0
2003_1032,1032,2003,40.0
2003_1033,1033,2003,44.0
2003_1034,1034,2003,29.0
2003_1035,1035,2003,52.0
2003_1036,1036,2003,32.0
2003_1037,1037,2003,40.0
2003_1038,1038,2003,42.0
2003_1039,1039,2003,40.0
2003_1040,1040,2003,29.0
2003_1041,1041,2003,50.0
2003_1042,1042,2003,54.0
2003_1043,1043,2003,46.0
2003_1044,1044,2003,44.0
2003_1045,1045,2003,47.0
2003_1046,1046,2003,54.0
2003_1047,1047,2003,44.0
2003_1048,1048,2003,44.0
2003_1049,1049,2003,48.0
2003_1050,1050,2003,40.0
2003_1051,1051,2003,50.0
2003_1052,1052,2003,55.0
2003_1053,1053,2003,44.0
2003_1054,1054,2003,40.0
2003_1055,1055,2003,45.0
2003_1056,1056,2003,33.0
2003_1057,1057,2003,45.0
2003_1058,1058,2003,43.0
2003_1059,1059,2003,39.0
2003_1060,1060,2003,42.0
2003_1061,1061,2003,47.0
2003_1062,1062,2003,47.0
2003_1063,1063,2003,58.0
2003_1064,1064,2003,48.0
2003_1065,1065,2003,30.0
2003_1066,1066,2003,46.0
2003_1067,1067,2003,45.0
2003_1068,1068,2003,50.0
2003_1069,1069,2003,37.0
2003_1070,1070,2003,47.0
2003_1071,1071,2003,39.0
2003_1072,1072,2003,48.0
2003_1073,1073,2003,50.0
2003_1074,1074,2003,50.0
2003_1075,1075,2003,46.0
2003_1076,1076,2003,35.0
2003_1077,1077,2003,31.0
2003_1078,1078,2003,40.0
2003_1079,1079,2003,30.0
2003_1080,1080,2003,53.0
2003_1081,1081,2003,37.0
2003_1082,1082,2003,25.0
2003_1083,1083,2003,52.0
2003_1084,1084,2003,44.0
2003_1085,1085,2003,40.0
2003_1086,1086,2003,39.0
2003_1087,1087,2003,40.0
2003_1088,1088,2003,45.0
2003_1089,1089,2003,50.0
2003_1090,1090,2003,39.0
2003_1091,1091,2003,48.0
2003_1092,1092,2003,38.0
2003_1093,1093,2003,49.0
2003_1094,1094,2003,44.0
2003_1095,1095,2003,43.0
2003_1096,1096,2003,36.0
2003_1097,1097,2003,42.0
2003_1098,1098,2003,49.0
2003_1099,1099,2003,44.0
2003_1100,1100,2003,41.0
2003_1101,1101,2003,45.0
2003_1102,1102,2003,54.0
2003_1103,1103,2003,50.0
2003_1104,1104,2003,50.0
2003_1105,1105,2003,50.0
2003_1106,1106,2003,34.0
2003_1107,1107,2003,30.0
2003_1108,1108,2003,50.0
2003_1109,1109,2003,37.0
2003_1110,1110,2003,30.0
2003_1111,1111,2003,53.0
2003_1112,1112,2003,39.0
2003_1113,1113,2003,60.0
2003_1114,1114,2003,36.0
2003_1115,1115,2003,40.0
2003_1116,1116,2003,50.0
2003_1117,1117,2003,54.0
2003_1118,1118,2003,55.0
2003_1119,1119,2003,44.0
2003_1120,1120,2003,49.0
